,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5
a,7.968392290081973,20.183147478029685,8.640425374787682,10.501440070895798,12.827708441030945
b,7.384978952809984,0.6794180636585186,2.9687615390296136,1.883169632966546,0.494793589838269
c,7.296359205376264,1.2702163798833175,3.079536223321764,4.24636289786574,1.2997562956945572
d,4.970090835241119,0.937892327006868,3.6703345395465625,3.8180341186027618,2.6290525072003543
e,3.1238460970386237,13.300347094010782,6.232922236171627,13.684365999556903,14.13484971567831
f,3.633409644782512,0.2806292002067794,1.0043571375821578,1.0412820323462078,0.7089579794697585
g,4.150358171479211,0.5464884425079389,2.9835314969352336,2.7472121704453145,1.2554464219776973
h,3.973118676611772,4.290672771582601,1.410530979986707,1.934864485636216,3.4340152130566426
i,2.0160992541171256,9.836791965142899,7.709918026733624,9.534007828077689,4.438372350638801
j,1.971789380400266,0.09600472638652979,0.3692489476404992,0.30278413706520935,0.03692489476404993
k,3.8623439923196217,0.5243335056495089,1.5656155379957168,2.1785687910789457,2.4444280333801047
l,5.199025182778229,5.5313492356546785,7.6065283213942845,5.775053541097408,5.191640203825419
m,6.262462151982867,1.425300937892327,4.032198508234251,2.5773576545306844,1.875784654013736
n,3.0647662654161434,2.6512074440587843,8.810279890702311,7.126504689461635,8.906284617088842
o,2.215493685842995,13.96499519976368,6.055682741304187,5.893213204342368,4.7337715087512
p,5.5608891514659184,1.344066169411417,2.392733180710435,1.993944317258696,1.0929768850158779
q,0.4357137582157891,0.12554464219776973,0.1329296211505797,0.007384978952809984,0.05169485266966989
r,4.320212687393841,7.724687984639243,10.597444797282328,5.797208477955838,6.816335573443616
s,10.07311129163282,1.4843807695148068,4.77069640351525,4.726386529798391,8.79550993279669
t,5.649508898899638,1.875784654013736,5.206410161731039,6.2772321098884865,6.0039878886345175
u,1.1889816114024077,7.931467395317923,4.379292519016321,4.054353445092682,0.915737390148438
v,1.986559338305886,0.5317184846023189,2.1047190015508455,1.2406764640720773,0.15508455800900967
w,2.318883391182335,0.930507348054058,1.1372867587327375,0.6572631268000886,0.4135588213573591
x,0.1403146001033897,0.34709401078206925,0.5760283583191788,0.11077468429214977,0.6498781478472786
y,0.6572631268000886,1.920094527730596,1.7354700539103465,1.078206927110258,10.0583413337272
z,0.5760283583191788,0.2658592423011594,0.8271176427147182,0.8123476848090982,0.6351081899416587
